upgrade_cow_district_greatpyramid_meereen_desc;The Great Pyramid of Meereen is a massive structure that serves as the administrative center of Meereen. It is 800 feet tall from its huge square base to the lofty apex. It was built as an echo to the Great Pyramid of Ghis, like its predecessor it has thirty-three levels, a sacred number to the gods of Ghis. The foundations are massive and thick, the inferior walls are three times thicker than any other castle walls. The servant steps are the quickest way up and down the pyramid, these narrow, steep and straight stairs are hiden within the thick brick walls. The walls in the heart of the Pyramid are eight feet thick. The Pyramid can be seen from outside the city walls, and a huge bronze harpy statue sits atop the Great Pyramid. This harpy was taken down by orders of Daenerys Targaryen when she conquered the city, after which she settled in the pyramid and used its audience hall as court.;;;;;;;;;;;;;;
upgrade_cow_district_yellowpyramid_yunkai;Yellow Pyramid of Yunkai;;;;;;;;;;;;;;
upgrade_cow_district_yellowpyramid_yunkai_desc;The Yellow Pyramid of Yunkai is greater than any Pyramid in Astapor, but even then it cannot match the Great Pyramid of Meereen or Old Ghis. Made entirely out of yellow bricks, it is located near the shore, with most of the other pyramids of the city that belongs to the nobles houses of Yunkai. The Wise Masters of Yunkai use the pyramid to hosts great feast and other unspeakable activities. Better built and stronger than the Red Pyramid of Astapor, its poorly defended, for the Wise Masters have relegated it mostly to administrative and disreputable affairs. Corruption within the city had made the pyramid an easy target for any foreign army that dared sack the city. But the Wise Masters believe they can bribe any fool who would dare to get near the city with an army, and they have many other kind of gifts that prevent the Pyramid from being use as a real defensive position.;;;;;;;;;;;;;;
upgrade_cow_district_redpyramid_astapor;Red Pyramid of Astapor;;;;;;;;;;;;;;
upgrade_cow_district_redpyramid_astapor_desc;The Red Pyramid of Astapor is a lesser pyramid compared with the great pyramids of Meereen or the Old Ghis. Like most of the city, it is made of red bricks and was built with the blood of many slaves. It is the largest and most formidable structure in Astapor, one of the few places of the city that could actually stand a siege and defend against a large army. Built with the wealth obtained with the unsullied slaves trade, the pyramid doesnt have a noble house living within its walls, but its instead shared by the Good Masters of Astapor, that mainly use it as an administrative center.;;;;;;;;;;;;;;
upgrade_cow_district_newpyramid_newghis;New Pyramid of New Ghis;;;;;;;;;;;;;;
upgrade_cow_district_newpyramid_newghis_desc;The New Pyramid is located in the Isle of New Ghis, and it was built to echo the Great Pyramids of Old Ghis and Meereen and to emulate the glory of old days, but it ended up smaller than those two. Built with strong thick bricks, it is the seat of power of the Kingdom of New Ghis, and the royal family of New Ghis lives within its walls. The New Pyramid serves as the administrative center of this New Ghiscari Kingdom, and it is defended by the iron legions of New Ghis.;;;;;;;;;;;;;;
upgrade_cow_anogrion;Anogrion;;;;;;;;;;;;;;
upgrade_cow_anogrion_desc;The Anogrion served as a place of work for Valyrian bloodmages. ;;;;;;;;;;;;;;
upgrade_cow_district_hall_dragonlords;The Hall of the Dragonlords;;;;;;;;;;;;;;
upgrade_cow_district_hall_dragonlords_desc;"Carved directly in the highest peak of the Fourteen Flames, this colossal palace stands as a monument to the Valyrian empire. It is not merely built atop the volcanoes, but fused into them, a sprawling fortress of black stone built on a scale that defies mortal comprehension, crafted not just by dragons, but for them, Its corridors are wide enough for several fully grown dragons to glide from the skies straight into the heart of the mountain.
Deep inside lies the grand hall where the Dragonlords of the Freehold gathered to chart the fate of the empire and clash not with steel, but with whispers, magic, and the absolute authority of the whip.";;;;;;;;;;;;;;
upgrade_cow_district_dragon_towers;Topless Towers of Valyria ;;;;;;;;;;;;;;
upgrade_cow_district_dragon_towers_desc;The obsidian towers housed noble families of valyria well above the clouds of smoke and ash that filled the city before the doom, from the ground smallfolk would never see the top of the towers rising above the ash.;;;;;;;;;;;;;;
upgrade_cow_district_valyria_harbor;Vilinion ;;;;;;;;;;;;;;
upgrade_cow_district_valyria_harbor_desc;The port served as the residential quarter, home to the Valyrian navy as well as teeming street markets. ;;;;;;;;;;;;;;
upgrade_cow_district_pentos_harbor;The Port of Pentos;;;;;;;;;;;;;;
upgrade_cow_district_pentos_harbor_desc;The Pentoshi are very involved in trading pale wine and spice, ships come daily passing forth between Pentos and King's Landing across the narrow sea in Westeros.;;;;;;;;;;;;;;
upgrade_cow_upgrade_house_black_White;The House of Black and White;;;;;;;;;;;;;;
upgrade_cow_upgrade_house_black_White_desc;The House of Black and White sits upon a rocky knoll made of dark grey stone. It has no windows and has a black tile roof. Its wooden doors are twelve feet high and carved. The left door is weirwood, the right ebony. In the center of the doors is a carved moon face ebony on weirwood, weirwood on ebony. Its steep steps of grey stone lead down to the shadowed dock. Besides the front door, there are also secret tunnels and hidden passages which allow entry to the temple. A winding stair leads to the garret, and a steep wooden ladder reaches the rooftop's door and a windy perch.;;;;;;;;;;;;;;
upgrade_cow_district_lys_garden;Lys Pleasure Gardens;;;;;;;;;;;;;;
upgrade_cow_district_lys_garden_desc;Lys Pleasure Gardens;;;;;;;;;;;;;;
upgrade_cow_upgrade_myrish_glassworks;Myrish Glassworks;;;;;;;;;;;;;;
upgrade_cow_upgrade_myrish_glassworks;Myrish Glassworks;;;;;;;;;;;;;;
wonder_city_of_wonders_valyria_damaged;Valyria was the capital of the greatest civilization ever seen, its power was based on taming and use of dragons in warfare, which they discovered in the chain of volcanoes known as the Fourteen Flames, the Valyrian Freehold conquered a large amount of territory in Essos, Its empire extended through much of the modern Free Cities and even onto the island of Dragonstone in the Narrow Sea, it is believed that for these sins the gods in their wroth struck Valyria down with a cataclysmic event known as the Doom of Valyria.;;;;;;;;;;;;;;
